order_id,partner_id,distance_km,promised_minutes,actual_minutes,delay_minutes,delivered_at
0,0,0.35,30,18.2,0.0,2026-01-01T07:18:12
1,1,2.48,30,18.18,0.0,2026-01-01T07:22:10.800000
2,0,1.21,30,15.97,0.0,2026-01-01T07:21:58.200000
3,0,4.49,30,29.39,0.0,2026-01-01T07:35:23.400000
4,1,2.33,30,21.77,0.0,2026-01-01T07:28:46.200000
5,1,2.65,30,19.89,0.0,2026-01-01T07:27:53.400000
6,0,2.86,30,24.76,0.0,2026-01-01T07:33:45.600000
7,0,3.25,30,30.9,0.8999999999999986,2026-01-01T07:40:54
8,0,0.69,30,20.32,0.0,2026-01-01T07:31:19.200000
9,0,3.78,30,27.17,0.0,2026-01-01T07:42:10.200000
