snapshot_id,date,store_id,product_id,opening_stock,received_units,wastage_units,sold_units,closing_stock,demand_units,replenishment_failed
0,2026-01-01,0,0,485,0,0,122,363,122,0
1,2026-01-01,0,1,429,0,0,83,346,83,1
2,2026-01-01,0,2,394,0,0,55,339,55,0
3,2026-01-01,0,3,422,0,0,60,362,60,1
4,2026-01-01,0,4,176,0,0,37,139,37,1
5,2026-01-01,0,5,187,0,0,41,146,41,0
6,2026-01-01,0,6,195,0,0,34,161,34,0
7,2026-01-01,0,7,229,0,0,30,199,30,0
8,2026-01-01,0,8,102,0,0,36,66,36,1
9,2026-01-01,0,9,115,0,0,23,92,23,0
