order_id,date,ordered_at,hour,store_id,customer_id,promotion_id,payment_method,status,delivery_cost_inr,packaging_cost_inr,fulfillment_cost_inr,promotion_cost_inr,payment_cost_inr
0,2026-01-01,2026-01-01 07:00:00,7,1,20767,0,Unknown,Delivered,15.38,7.8,6.64,0.0,23.67
1,2026-01-01,2026-01-01 07:04:00,7,0,19276,0,Card,Delivered,25.19,5.4,3.96,0.0,16.45
2,2026-01-01,2026-01-01 07:06:00,7,4,-1,0,Card,Delivered,16.84,5.4,5.4,0.0,13.46
3,2026-01-01,2026-01-01 07:00:00,7,3,13253,0,UPI,Delivered,35.96,6.6,6.56,0.0,0.0
4,2026-01-01,2026-01-01 07:07:00,7,5,2075,1,UPI,Delivered,26.8,6.6,7.64,2.5,0.0
5,2026-01-01,2026-01-01 07:08:00,7,7,22781,0,Card,Delivered,29.69,6.6,8.72,0.0,12.82
6,2026-01-01,2026-01-01 07:09:00,7,0,13307,0,Cash,Delivered,23.43,7.8,5.92,0.0,6.89
7,2026-01-01,2026-01-01 07:10:00,7,7,8019,1,UPI,Delivered,31.02,6.6,8.72,2.5,0.0
8,2026-01-01,2026-01-01 07:11:00,7,4,16017,0,UPI,Delivered,14.74,5.4,5.4,0.0,0.0
9,2026-01-01,2026-01-01 07:15:00,7,6,386,1,UPI,Delivered,31.14,7.8,10.24,2.5,0.0
