item_id,order_id,product_id,substitute_product_id,quantity_ordered,quantity_original,quantity_substituted,quantity_fulfilled,quantity_unfulfilled,unit_price_inr,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,estimated_lost_revenue_inr,estimated_lost_margin_inr
0,0,14,18,1,1,0,1,0,381.48,381.48,0.0,381.48,243.1,0.0,0.0
1,0,3,7,1,1,0,1,0,413.1,413.1,0.0,413.1,230.85,0.0,0.0
2,0,15,19,2,2,0,2,0,260.1,520.2,0.0,520.2,290.7,0.0,0.0
3,1,5,9,1,1,0,1,0,306.0,306.0,0.0,306.0,250.92,0.0,0.0
4,1,19,23,1,1,0,1,0,608.0,608.0,0.0,608.0,346.56,0.0,0.0
5,2,14,18,2,2,0,2,0,374.0,748.0,0.0,748.0,486.2,0.0,0.0
6,3,16,20,3,3,0,3,0,99.64,298.92,0.0,298.92,197.4,0.0,0.0
7,4,4,8,1,1,0,1,0,47.94,47.94,3.84,44.099999999999994,32.9,0.0,0.0
8,4,34,38,1,1,0,1,0,572.22,572.22,45.78,526.44,364.65,0.0,0.0
9,4,4,8,1,1,0,1,0,47.94,47.94,3.84,44.099999999999994,32.9,0.0,0.0
