table,total_records,missing_values,duplicate_records,invalid_values,outliers,referential_integrity_issues,records_removed,records_corrected,records_retained,records_added
DIM_REGION,2,0,0,0,0,0,0,0,2,0
DIM_CITY,4,0,0,0,0,0,0,0,4,0
DIM_STORE,8,0,0,0,0,0,0,0,8,0
DIM_STORE_OPERATIONS,8,0,0,0,0,0,0,0,8,0
DIM_CATEGORY,4,0,0,0,0,0,0,0,4,0
DIM_SUPPLIER,4,0,0,0,0,0,0,0,4,0
DIM_PRODUCT,40,0,0,1,0,1,0,1,40,0
DIM_CUSTOMER,30000,0,0,0,0,0,0,0,30000,1
DIM_DATE,120,0,0,0,0,0,0,0,120,0
DIM_PROMOTION,3,0,0,0,0,0,0,0,3,0
DIM_DELIVERY_PARTNER,2,0,0,0,0,0,0,0,2,0
FACT_ORDERS,300001,1,1,2,0,1,1,4,300000,0
FACT_ORDER_ITEMS,702781,0,0,0,0,0,0,0,702781,0
FACT_INVENTORY_SNAPSHOTS,38400,0,0,0,0,0,0,0,38400,0
FACT_DELIVERY,300000,0,0,0,1,0,0,1,300000,0
FACT_PROMOTIONS,102369,0,0,0,0,0,0,0,102369,0
