date,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,variable_cost_inr,contribution_profit_inr,quantity_ordered,quantity_fulfilled,quantity_unfulfilled,quantity_substituted,estimated_lost_revenue_inr,estimated_lost_margin_inr,orders,period_days,delivery_cost_inr,fill_rate,substitution_rate,cancellation_rate,order_fulfillment_rate,item_fulfillment_rate,gross_margin,contribution_margin,aov_inr,profit_per_order_inr,profit_per_item_inr,recovery_opportunity_inr
2026-01-01,1641188.2200000002,108548.25,1532639.9700000002,1063189.3,469450.67000000004,99795.13,369655.54000000004,6137.0,6137.0,0.0,0.0,0.0,0.0,2058,1,62532.780000000006,1.0,0.0,0.0,1.0,1.0,0.3063019881962233,0.2411887639861043,744.7230174927115,179.618824101069,60.23391559393841,0.0
2026-01-02,1659142.62,103131.87000000001,1556010.75,1069621.37,486389.38000000006,98491.68000000001,387897.70000000007,6134.0,6134.0,0.0,0.0,0.0,0.0,2052,1,61722.79,1.0,0.0,0.0,1.0,1.0,0.312587416250177,0.2492898586979557,758.2898391812865,189.0339668615985,63.23731659602218,0.0
2026-01-03,2289370.27,150715.69,2138654.58,1473061.55,665593.03,134645.86000000002,530947.17,8451.0,8451.0,0.0,0.0,0.0,0.0,2810,1,84301.21,1.0,0.0,0.0,1.0,1.0,0.31122044495843737,0.24826223690597105,761.0870391459075,188.94917081850537,62.826549520766775,0.0
2026-01-04,2293988.89,139163.76,2154825.13,1473987.2,680837.9299999999,134915.03999999998,545922.89,8393.0,8382.0,11.0,11.0,2245.64,385.88,2801,1,84358.81999999999,0.9986893840104849,0.001310615989515072,0.0003570153516601214,0.9996429846483399,0.9987819732034104,0.3159597131670726,0.2533490455441273,769.3056515530168,194.90285255265977,65.13038534955858,1459.666
2026-01-05,1684652.41,110763.79999999999,1573888.6099999999,1084543.08,489345.53,99713.57,389631.9600000001,6178.0,6160.0,18.0,9.0,3439.8999999999996,530.8599999999999,2091,1,62305.09999999999,0.9970864357397216,0.0014567821301392037,0.0009564801530368245,0.9990435198469632,0.9969104016477858,0.310914970024467,0.2475600608101485,752.6966092778574,186.33761836441897,63.25194155844157,2235.935
2026-01-06,1677964.7600000002,99793.64000000001,1578171.1199999999,1079704.88,498466.24,101541.46,396924.77999999997,6356.0,6329.0,27.0,28.0,2421.89,627.01,2116,1,63432.87,0.9957520453115167,0.004405286343612335,0.000945179584120983,0.999054820415879,0.9955929487179487,0.31585056505152626,0.25150934202876557,745.8275614366729,187.58259924385632,62.715244114394054,1574.2285
2026-01-07,1741682.8199999998,111601.52,1630081.2999999998,1115700.38,514380.92000000004,102720.70999999999,411660.21,6383.0,6378.0,5.0,3.0,2767.46,1153.24,2137,1,64287.729999999996,0.9992166692777691,0.00046999843333855553,0.0004679457182966776,0.9995320542817033,0.9992012779552716,0.31555537751399276,0.2525396800760797,762.7895648104819,192.63463266261115,64.54377704609595,1798.8490000000002
2026-01-08,1670968.12,112218.35,1558749.77,1073930.7799999998,484818.99,98623.7,386195.29000000004,6101.0,6101.0,0.0,1.0,0.0,0.0,2054,1,61435.64,1.0,0.00016390755613833797,0.0,1.0,1.0,0.31103067299891246,0.24775964521874477,758.8849902629016,188.02107594936712,63.30032617603672,0.0
2026-01-09,1834119.0299999998,117571.79000000001,1716547.24,1173150.96,543396.28,104600.52,438795.76,6617.0,6603.0,14.0,5.0,4445.08,1653.3100000000002,2167,1,64743.45,0.9978842375698957,0.000755629439322956,0.00046146746654360867,0.9995385325334564,0.9978636628471548,0.3165635453178673,0.25562696427742937,792.1307060452239,202.48996769727734,66.45399969710738,2889.302
2026-01-10,2307259.8600000003,147881.27,2159378.59,1471588.67,687789.92,137197.53,550592.3900000001,8381.0,8372.0,9.0,11.0,1511.19,536.49,2850,1,85280.86,0.9989261424650996,0.0013124925426560075,0.0,1.0,0.9987900786448881,0.318512892174225,0.25497723861381816,757.676698245614,193.1903122807018,65.76593287147637,982.2735
