hour,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,variable_cost_inr,contribution_profit_inr,quantity_ordered,quantity_fulfilled,quantity_unfulfilled,quantity_substituted,estimated_lost_revenue_inr,estimated_lost_margin_inr,orders,period_days,delivery_cost_inr,fill_rate,substitution_rate,cancellation_rate,order_fulfillment_rate,item_fulfillment_rate,gross_margin,contribution_margin,aov_inr,profit_per_order_inr,profit_per_item_inr,recovery_opportunity_inr
7,5716678.5,353125.94,5363552.5600000005,3702127.89,1661424.67,320977.38,1340447.29,21107.0,21049.0,58.0,33.0,17041.59,5560.8,7031,120,193495.13,0.9972520964608897,0.0015634623584592788,0.0012800455127293415,0.9987199544872707,0.9971508244422891,0.3097619817116139,0.24991780634289149,762.8434874128859,190.6481709571896,63.68223145992684,11077.033500000001
8,8480289.65,537617.0700000001,7942672.58,5488696.9799999995,2453975.5999999996,475842.5,1978133.1000000003,31322.0,31232.0,90.0,71.0,24666.04,7968.93,10461,120,287648.01,0.997126620266905,0.0022667773449971266,0.0006691520887104483,0.9993308479112896,0.9970204081632653,0.3089609417086156,0.24905132121158144,759.2651352643151,189.09598508746777,63.336741162909846,16032.926000000001
9,13869338.69,887829.64,12981509.05,8986722.84,3994786.21,788831.0800000001,3205955.13,51736.0,51603.0,133.0,109.0,30986.39,9488.0,17374,120,477426.66000000003,0.997429256223906,0.0021068501623627647,0.00034534361689881433,0.9996546563831011,0.9975311080387123,0.30772895467033545,0.24696320879582176,747.1802146886153,184.5260233682514,62.127301319690716,20141.1535
10,11299532.129999999,715753.2999999999,10583778.83,7315137.78,3268641.0500000003,641613.23,2627027.8200000003,42213.0,42043.0,170.0,98.0,46103.44,15443.25,14104,120,388313.31,0.9959728045862649,0.002321559709094355,0.0009926262053318207,0.9990073737946682,0.9961277831558567,0.30883497307549085,0.24821265279595797,750.4097298638684,186.26118973340897,62.48430939752159,29967.236
11,8302681.73,531517.26,7771164.47,5364518.3,2406646.1700000004,467140.0,1939506.17,30679.0,30585.0,94.0,83.0,24821.079999999998,8528.25,10268,120,283068.52,0.9969360148635875,0.0027054336842791487,0.0007791195948578107,0.9992208804051422,0.996952492276864,0.30968925947850906,0.24957729018441427,756.8333141799766,188.888407674328,63.4136396926598,16133.702
12,13934140.84,875770.0700000001,13058370.77,9030203.71,4028167.06,789375.8500000001,3238791.21,51905.0,51725.0,180.0,140.0,41912.96000000001,13339.38,17364,120,476179.31,0.996532125999422,0.0026972353337828725,0.0009790370882285188,0.9990209629117714,0.9964759229138942,0.3084739383609951,0.24802414229504988,752.0370173923059,186.5233362128542,62.61558646689222,27243.424000000006
13,19968708.880000003,1272929.43,18695779.45,12946316.67,5749462.78,1119719.0499999998,4629743.73,74021.0,73736.0,285.0,207.0,83026.9,28165.97,24616,120,675884.71,0.9961497412896341,0.002796503694897394,0.0008937276568085798,0.9991062723431914,0.9960653021778898,0.3075273109300613,0.2476357694730936,759.4970527299317,188.0786370653234,62.788105267440606,53967.485
14,13952805.23,879011.77,13073793.46,9029478.49,4044314.97,785826.78,3258488.1900000004,51654.0,51399.0,255.0,199.0,69116.44,23151.100000000002,17279,120,474615.19999999995,0.9950633058427227,0.003852557401169319,0.0014468429885988773,0.9985531570114011,0.9952238362740974,0.30934517838099607,0.2492381572318338,756.6290560796343,188.58083164534986,63.395945251853156,44925.686
15,8401123.88,526151.75,7874972.13,5437704.55,2437267.58,474372.2,1962895.3800000004,31159.0,31018.0,141.0,120.0,39840.33,13943.990000000002,10421,120,286557.08999999997,0.9954748226836548,0.0038512147373150614,0.0012474810478840803,0.9987525189521159,0.995479018536024,0.3094953911919432,0.24925743832441988,755.6829603684866,188.3595988868631,63.28246115158941,25896.214500000002
16,8488667.8,545311.5800000001,7943356.22,5497779.93,2445576.29,478157.51,1967418.7800000003,31619.0,31459.0,160.0,94.0,36433.37000000001,11722.619999999999,10489,120,288737.9,0.9949397514152882,0.002972896043518138,0.0009533797311469158,0.999046620268853,0.9952512379251562,0.307876950531623,0.24768104633736296,757.3034817427781,187.56971875297933,62.53913919705014,23681.690500000008
