week,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,variable_cost_inr,contribution_profit_inr,quantity_ordered,quantity_fulfilled,quantity_unfulfilled,quantity_substituted,estimated_lost_revenue_inr,estimated_lost_margin_inr,orders,period_days,delivery_cost_inr,fill_rate,substitution_rate,cancellation_rate,order_fulfillment_rate,item_fulfillment_rate,gross_margin,contribution_margin,aov_inr,profit_per_order_inr,profit_per_item_inr,recovery_opportunity_inr
2025-12-29/2026-01-04,7883690.0,501559.57,7382130.43,5079859.42,2302271.01,467847.70999999996,1834423.3000000003,29115.0,29104.0,11.0,11.0,2245.64,385.88000000000005,9721,4,292915.6,0.9996221878756655,0.00037781212433453545,0.00010287007509515482,0.9998971299249049,0.9996475149806133,0.31187081179761816,0.24849510820685952,759.4003116963275,188.70726262730176,63.02993746564047,1459.666
2026-01-05/2026-01-11,13227715.870000001,844870.22,12382845.649999999,8473805.0,3909040.6500000004,779012.76,3130027.89,48461.0,48370.0,91.0,69.0,16613.14,5033.27,16221,7,485265.39999999997,0.9981222013577928,0.0014238253440911248,0.000369890882189754,0.9996301091178103,0.9980519651459709,0.31568193293275854,0.25277129171031865,763.3836169163429,192.96146291843908,64.71010729791193,10798.541
2026-01-12/2026-01-18,13333194.16,841827.1499999999,12491367.010000002,8474780.84,4016586.17,785098.03,3231488.14,48984.0,48690.0,294.0,199.0,89133.43000000001,30719.95,16331,7,490383.91000000003,0.9939980401763842,0.00406255103707333,0.0017757638846365807,0.9982242361153634,0.9941260931993212,0.3215489679219664,0.25869771798499097,764.886841589615,197.87448043598067,66.36862066132676,57936.72950000001
2026-01-19/2026-01-25,13628382.219999999,863086.8300000001,12765295.39,8594400.27,4170895.12,789464.8400000001,3381430.2800000003,49363.0,49038.0,325.0,228.0,105480.84,36630.020000000004,16413,7,492741.3,0.9934161213864635,0.004618844073496343,0.0010357643331505514,0.9989642356668494,0.9937793214276457,0.32673706268226044,0.2648924428845512,777.7551568878329,206.02146347407543,68.95530568130837,68562.546
2026-01-26/2026-02-01,13892692.069999998,861485.58,13031206.490000002,8733680.5,4297525.99,804157.35,3493368.6400000006,49887.0,49784.0,103.0,109.0,26761.149999999998,9363.630000000001,16692,7,500920.91,0.9979353338545112,0.0021849379597891233,0.0004792715073088905,0.9995207284926911,0.997819170771757,0.32978726822400306,0.2680771456335046,780.6857470644621,209.28400670980113,70.17050940061065,17394.747499999998
2026-02-02/2026-02-08,14090792.079999998,896735.4299999999,13194056.65,8845199.31,4348857.34,811083.35,3537773.99,50279.0,50060.0,219.0,177.0,39710.32,14687.97,16848,7,505435.19,0.9956443047793313,0.0035203564112253624,0.0007716049382716049,0.9992283950617284,0.9955566840167577,0.32960729632762337,0.2681339093689582,783.1230205365622,209.98183701329535,70.67067499001199,25811.708000000002
2026-02-09/2026-02-15,14056143.22,878033.93,13178109.290000001,8865118.3,4312990.99,817178.51,3495812.4800000004,50839.0,50679.0,160.0,93.0,52685.94,20524.41,16973,7,509722.77,0.9968528098507051,0.0018293042742776216,0.0006480881399870382,0.9993519118600129,0.9968365553602812,0.3272845060765162,0.2652742061148895,776.4160307547281,205.96314617333414,68.97950788294955,34245.861000000004
2026-02-16/2026-02-22,14091355.899999999,891352.6300000001,13200003.27,8953110.940000001,4246892.33,824302.98,3422589.3500000006,51523.0,51105.0,418.0,214.0,75730.31,26596.12,17163,7,513843.85,0.9918871183743183,0.0041534848514255766,0.0015148866748237488,0.9984851133251762,0.9921469221402123,0.3217341877219096,0.25928700773723373,769.0965023597273,199.416730758026,66.97171216123668,49224.7015
2026-02-23/2026-03-01,14271395.96,904387.99,13367007.969999999,9135916.14,4231091.83,838838.5,3392253.33,52415.0,52286.0,129.0,101.0,50678.24,17145.41,17385,7,523269.7,0.9975388724601736,0.0019269293141276351,0.0005176876617773944,0.9994823123382226,0.9974099594389875,0.31653245359739246,0.25377805845656276,768.8816778832326,195.12529939603107,64.87880752017749,32940.856
2026-03-02/2026-03-08,14114128.25,878685.8500000001,13235442.399999999,9134258.040000001,4101184.3600000003,848130.9600000001,3253053.4000000004,52868.0,52331.0,537.0,270.0,136287.22,41576.770000000004,17674,7,531326.49,0.9898426269198759,0.005107059090565181,0.0027158537965372865,0.9972841462034627,0.9896012604532783,0.3098637911793565,0.24578350323975576,748.8651352268869,184.0586963901777,62.16302765091438,88586.693
2026-03-09/2026-03-15,14197988.530000001,923434.02,13274554.510000002,9296607.35,3977947.16,856364.4199999999,3121582.74,53730.0,53376.0,354.0,189.0,134151.99,47657.56,17861,7,536027.1699999999,0.9934115019542156,0.0035175879396984926,0.0013996976653042942,0.9986003023346957,0.9934171439435348,0.2996670929335767,0.23515536718376848,743.2145182240637,174.7708829292873,58.48289006294964,87198.7935
2026-03-16/2026-03-22,14145025.19,899511.62,13245513.57,9355364.58,3890148.99,856526.9,3033622.09,53771.0,53298.0,473.0,276.0,86522.01000000001,31161.83,17878,7,537104.29,0.9912034367967864,0.005132878317308586,0.001845844054144759,0.9981541559458552,0.991151284490961,0.2936955950738572,0.2290301598324511,740.8834080993399,169.68464537420292,56.91812244361889,56239.306500000006
2026-03-23/2026-03-29,14057776.490000002,886387.85,13171388.64,9334629.32,3836759.3200000003,866101.72,2970657.6,53999.0,53577.0,422.0,291.0,138361.02000000002,48356.65,18087,7,543660.75,0.9921850404637123,0.005388988684975647,0.0018245148449162383,0.9981754851550838,0.9921780558913461,0.2912949746504481,0.22553867942051703,728.2240636921546,164.24269364737106,55.44650876308864,89934.66300000002
2026-03-30/2026-04-05,14256195.7,902385.19,13353810.51,9517736.64,3836073.87,876580.9299999999,2959492.9400000004,54878.0,54460.0,418.0,242.0,70033.38,20074.54,18318,7,548864.45,0.9923831043405372,0.004409781697583731,0.0022928267278087126,0.9977071732721913,0.9923653428591441,0.2872643630166353,0.2216216066405753,728.9993727481166,161.56201222840923,54.34250716121925,45521.69700000001
2026-04-06/2026-04-12,14657513.36,924942.05,13732571.309999999,9772291.290000001,3960280.0200000005,897149.8200000001,3063130.2,56421.0,55899.0,522.0,376.0,151423.1,48576.93000000001,18690,7,561149.75,0.9907481256978784,0.006664185321068396,0.0016051364365971107,0.9983948635634029,0.990788336441796,0.2883859060769007,0.22305583789464412,734.7550192616371,163.89139646869984,54.79758492996297,98425.01500000001
2026-04-13/2026-04-19,14535963.989999998,916818.82,13619145.169999998,9629598.75,3989546.4200000004,893081.47,3096464.95,56008.0,55249.0,759.0,514.0,226209.91,66001.73999999999,18688,7,560562.11,0.9864483645193544,0.009177260391372661,0.003050085616438356,0.9969499143835616,0.9867589113900852,0.29293662489097333,0.2273611824639946,728.7641893193492,165.69268782106167,56.04562888016073,147036.44150000002
2026-04-20/2026-04-26,15003748.799999999,954844.8999999999,14048903.899999999,9896790.47,4152113.4300000006,915157.05,3236956.3800000004,56904.0,56518.0,386.0,214.0,112854.56,40756.67,19111,7,574131.73,0.9932166455785182,0.0037607198088007872,0.0016221024540840354,0.998377897545916,0.993162354840156,0.2955471444288263,0.23040632942189893,735.121338496154,169.37660928261212,57.27301709189993,73355.464
2026-04-27/2026-05-03,7862207.82,484213.52999999997,7377994.290000001,5154139.02,2223855.27,476563.13,1747292.1400000001,29907.0,29586.0,321.0,178.0,88832.19,31049.440000000002,9946,4,298179.04000000004,0.989266726853245,0.0059517838633095935,0.0020108586366378444,0.9979891413633621,0.9893708580772872,0.30141732056016535,0.23682481597583344,741.8051769555601,175.6778745224211,59.05807273710539,57740.923500000004
