date,actual_units,forecast_units,model,dimension,entity
2026-04-17,7412.0,7396.0,Naive,total,All
2026-04-18,9478.0,7396.0,Naive,total,All
2026-04-19,9528.0,7396.0,Naive,total,All
2026-04-20,7423.0,7396.0,Naive,total,All
2026-04-21,7253.0,7396.0,Naive,total,All
2026-04-22,7341.0,7396.0,Naive,total,All
2026-04-23,7650.0,7396.0,Naive,total,All
2026-04-24,7695.0,7396.0,Naive,total,All
2026-04-25,9935.0,7396.0,Naive,total,All
2026-04-26,9607.0,7396.0,Naive,total,All
2026-04-27,7650.0,7396.0,Naive,total,All
2026-04-28,7435.0,7396.0,Naive,total,All
2026-04-29,7249.0,7396.0,Naive,total,All
2026-04-30,7573.0,7396.0,Naive,total,All
2026-04-17,7412.0,8090.142857142857,Moving average,total,All
2026-04-18,9478.0,8090.142857142857,Moving average,total,All
2026-04-19,9528.0,8090.142857142857,Moving average,total,All
2026-04-20,7423.0,8090.142857142857,Moving average,total,All
2026-04-21,7253.0,8090.142857142857,Moving average,total,All
2026-04-22,7341.0,8090.142857142857,Moving average,total,All
2026-04-23,7650.0,8090.142857142857,Moving average,total,All
2026-04-24,7695.0,8090.142857142857,Moving average,total,All
2026-04-25,9935.0,8090.142857142857,Moving average,total,All
2026-04-26,9607.0,8090.142857142857,Moving average,total,All
2026-04-27,7650.0,8090.142857142857,Moving average,total,All
2026-04-28,7435.0,8090.142857142857,Moving average,total,All
2026-04-29,7249.0,8090.142857142857,Moving average,total,All
2026-04-30,7573.0,8090.142857142857,Moving average,total,All
2026-04-17,7412.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-18,9478.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-19,9528.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-20,7423.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-21,7253.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-22,7341.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-23,7650.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-24,7695.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-25,9935.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-26,9607.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-27,7650.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-28,7435.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-29,7249.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-30,7573.0,7722.3059842959065,Exponential smoothing,total,All
2026-04-17,7412.0,7392.0,Seasonal naive,total,All
2026-04-18,9478.0,9929.0,Seasonal naive,total,All
2026-04-19,9528.0,9720.0,Seasonal naive,total,All
2026-04-20,7423.0,7243.0,Seasonal naive,total,All
2026-04-21,7253.0,7447.0,Seasonal naive,total,All
2026-04-22,7341.0,7504.0,Seasonal naive,total,All
2026-04-23,7650.0,7396.0,Seasonal naive,total,All
2026-04-24,7695.0,7392.0,Seasonal naive,total,All
2026-04-25,9935.0,9929.0,Seasonal naive,total,All
2026-04-26,9607.0,9720.0,Seasonal naive,total,All
