model,selected,validation_mae,mae,rmse,wape,bias_units,wape_defined,train_end,validation_end,test_start,test_end,dimension,entity
Naive,False,721.9285714285714,741.0714285714286,1210.4468183278439,0.09162846973831792,-691.7857142857143,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,total,All
Moving average,False,797.2142857142857,886.2755102040816,993.2872603797217,0.10958197231148506,2.3571428571425974,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,total,All
Exponential smoothing,False,677.3955090294156,728.6311361268171,1058.3900313890088,0.09009031172027872,-365.4797299898078,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,total,All
Seasonal naive,True,241.07142857142858,194.78571428571428,234.29941162050383,0.024083936094110168,2.357142857142857,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,total,All
Naive,False,125.85714285714286,119.0,177.90005219625027,0.11684668256417449,-95.42857142857143,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,0
Moving average,False,110.26530612244899,134.1224489795918,152.18309327106942,0.13169548924914332,24.857142857142794,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,0
Exponential smoothing,False,111.74374138521372,108.12276678433341,154.63096073018428,0.10616627402024602,-36.998887683404504,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,0
Seasonal naive,True,67.0,44.714285714285715,58.22616005100898,0.04390517604152055,24.857142857142858,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,0
Naive,False,106.85714285714286,111.0,166.3687814121731,0.1096528365791702,-89.28571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,1
Moving average,False,110.40816326530613,121.16326530612248,142.16073110879728,0.11969275432442243,22.428571428571495,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,1
Exponential smoothing,False,105.85714285714286,112.3328403950364,142.7597206602048,0.11096950081361202,-25.955831520459647,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,1
Seasonal naive,True,62.285714285714285,66.14285714285714,87.87572393524196,0.06534010725373977,22.428571428571427,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,1
Naive,False,107.85714285714286,138.21428571428572,195.33908247674643,0.13830319491101423,-136.35714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,2
Moving average,False,91.71428571428571,122.94897959183673,139.9395277559969,0.12302806906480697,4.357142857142809,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,2
