date,forecast_units,lower_units,upper_units,model,dimension,entity
2026-05-01,7695.0,7250.9,8139.1,Seasonal naive,total,All
2026-05-02,9935.0,9490.9,10379.1,Seasonal naive,total,All
2026-05-03,9607.0,9162.9,10051.1,Seasonal naive,total,All
2026-05-04,7650.0,7205.9,8094.1,Seasonal naive,total,All
2026-05-05,7435.0,6990.9,7879.1,Seasonal naive,total,All
2026-05-06,7249.0,6804.9,7693.1,Seasonal naive,total,All
2026-05-07,7573.0,7128.9,8017.1,Seasonal naive,total,All
2026-05-08,7695.0,7250.9,8139.1,Seasonal naive,total,All
2026-05-09,9935.0,9490.9,10379.1,Seasonal naive,total,All
2026-05-10,9607.0,9162.9,10051.1,Seasonal naive,total,All
2026-05-11,7650.0,7205.9,8094.1,Seasonal naive,total,All
2026-05-12,7435.0,6990.9,7879.1,Seasonal naive,total,All
2026-05-13,7249.0,6804.9,7693.1,Seasonal naive,total,All
2026-05-14,7573.0,7128.9,8017.1,Seasonal naive,total,All
2026-05-01,952.0,837.1999999999999,1066.8,Seasonal naive,store_id,0
2026-05-02,1356.0,1241.2,1470.8,Seasonal naive,store_id,0
2026-05-03,1120.0,1005.1999999999999,1234.8,Seasonal naive,store_id,0
2026-05-04,929.0,814.1999999999999,1043.8,Seasonal naive,store_id,0
2026-05-05,955.0,840.1999999999999,1069.8,Seasonal naive,store_id,0
2026-05-06,863.0,748.1999999999999,977.8000000000001,Seasonal naive,store_id,0
2026-05-07,985.0,870.1999999999999,1099.8,Seasonal naive,store_id,0
2026-05-08,952.0,837.1999999999999,1066.8,Seasonal naive,store_id,0
2026-05-09,1356.0,1241.2,1470.8,Seasonal naive,store_id,0
2026-05-10,1120.0,1005.1999999999999,1234.8,Seasonal naive,store_id,0
2026-05-11,929.0,814.1999999999999,1043.8,Seasonal naive,store_id,0
2026-05-12,955.0,840.1999999999999,1069.8,Seasonal naive,store_id,0
2026-05-13,863.0,748.1999999999999,977.8000000000001,Seasonal naive,store_id,0
2026-05-14,985.0,870.1999999999999,1099.8,Seasonal naive,store_id,0
2026-05-01,935.0,835.9,1034.1,Seasonal naive,store_id,1
2026-05-02,1269.0,1169.9,1368.1,Seasonal naive,store_id,1
2026-05-03,1057.0,957.9,1156.1,Seasonal naive,store_id,1
2026-05-04,938.0,838.9,1037.1,Seasonal naive,store_id,1
2026-05-05,912.0,812.9,1011.1,Seasonal naive,store_id,1
2026-05-06,865.0,765.9,964.1,Seasonal naive,store_id,1
2026-05-07,906.0,806.9,1005.1,Seasonal naive,store_id,1
2026-05-08,935.0,835.9,1034.1,Seasonal naive,store_id,1
2026-05-09,1269.0,1169.9,1368.1,Seasonal naive,store_id,1
2026-05-10,1057.0,957.9,1156.1,Seasonal naive,store_id,1
2026-05-11,938.0,838.9,1037.1,Seasonal naive,store_id,1
2026-05-12,912.0,812.9,1011.1,Seasonal naive,store_id,1
2026-05-13,865.0,765.9,964.1,Seasonal naive,store_id,1
2026-05-14,906.0,806.9,1005.1,Seasonal naive,store_id,1
2026-05-01,991.0,847.9,1134.1,Seasonal naive,store_id,2
2026-05-02,1226.0,1082.9,1369.1,Seasonal naive,store_id,2
2026-05-03,1205.0,1061.9,1348.1,Seasonal naive,store_id,2
2026-05-04,896.0,752.9,1039.1,Seasonal naive,store_id,2
2026-05-05,877.0,733.9,1020.1,Seasonal naive,store_id,2
2026-05-06,928.0,784.9,1071.1,Seasonal naive,store_id,2
2026-05-07,850.0,706.9,993.1,Seasonal naive,store_id,2
2026-05-08,991.0,847.9,1134.1,Seasonal naive,store_id,2
2026-05-09,1226.0,1082.9,1369.1,Seasonal naive,store_id,2
2026-05-10,1205.0,1061.9,1348.1,Seasonal naive,store_id,2
2026-05-11,896.0,752.9,1039.1,Seasonal naive,store_id,2
2026-05-12,877.0,733.9,1020.1,Seasonal naive,store_id,2
2026-05-13,928.0,784.9,1071.1,Seasonal naive,store_id,2
2026-05-14,850.0,706.9,993.1,Seasonal naive,store_id,2
2026-05-01,937.0,761.1,1112.9,Seasonal naive,store_id,3
2026-05-02,1309.0,1133.1,1484.9,Seasonal naive,store_id,3
2026-05-03,1187.0,1011.1,1362.9,Seasonal naive,store_id,3
2026-05-04,1000.0,824.1,1175.9,Seasonal naive,store_id,3
2026-05-05,964.0,788.1,1139.9,Seasonal naive,store_id,3
2026-05-06,1009.0,833.1,1184.9,Seasonal naive,store_id,3
2026-05-07,862.0,686.1,1037.9,Seasonal naive,store_id,3
2026-05-08,937.0,761.1,1112.9,Seasonal naive,store_id,3
2026-05-09,1309.0,1133.1,1484.9,Seasonal naive,store_id,3
2026-05-10,1187.0,1011.1,1362.9,Seasonal naive,store_id,3
2026-05-11,1000.0,824.1,1175.9,Seasonal naive,store_id,3
2026-05-12,964.0,788.1,1139.9,Seasonal naive,store_id,3
2026-05-13,1009.0,833.1,1184.9,Seasonal naive,store_id,3
2026-05-14,862.0,686.1,1037.9,Seasonal naive,store_id,3
2026-05-01,1029.0,921.5,1136.5,Seasonal naive,store_id,4
2026-05-02,1243.0,1135.5,1350.5,Seasonal naive,store_id,4
2026-05-03,1380.0,1272.5,1487.5,Seasonal naive,store_id,4
2026-05-04,987.0,879.5,1094.5,Seasonal naive,store_id,4
2026-05-05,840.0,732.5,947.5,Seasonal naive,store_id,4
2026-05-06,968.0,860.5,1075.5,Seasonal naive,store_id,4
2026-05-07,1026.0,918.5,1133.5,Seasonal naive,store_id,4
2026-05-08,1029.0,921.5,1136.5,Seasonal naive,store_id,4
2026-05-09,1243.0,1135.5,1350.5,Seasonal naive,store_id,4
2026-05-10,1380.0,1272.5,1487.5,Seasonal naive,store_id,4
2026-05-11,987.0,879.5,1094.5,Seasonal naive,store_id,4
2026-05-12,840.0,732.5,947.5,Seasonal naive,store_id,4
2026-05-13,968.0,860.5,1075.5,Seasonal naive,store_id,4
2026-05-14,1026.0,918.5,1133.5,Seasonal naive,store_id,4
2026-05-01,962.0,807.8,1116.2,Seasonal naive,store_id,5
2026-05-02,1133.0,978.8,1287.2,Seasonal naive,store_id,5
2026-05-03,1253.0,1098.8,1407.2,Seasonal naive,store_id,5
2026-05-04,915.0,760.8,1069.2,Seasonal naive,store_id,5
2026-05-05,933.0,778.8,1087.2,Seasonal naive,store_id,5
2026-05-06,925.0,770.8,1079.2,Seasonal naive,store_id,5
2026-05-07,997.0,842.8,1151.2,Seasonal naive,store_id,5
2026-05-08,962.0,807.8,1116.2,Seasonal naive,store_id,5
2026-05-09,1133.0,978.8,1287.2,Seasonal naive,store_id,5
2026-05-10,1253.0,1098.8,1407.2,Seasonal naive,store_id,5
2026-05-11,915.0,760.8,1069.2,Seasonal naive,store_id,5
2026-05-12,933.0,778.8,1087.2,Seasonal naive,store_id,5
2026-05-13,925.0,770.8,1079.2,Seasonal naive,store_id,5
2026-05-14,997.0,842.8,1151.2,Seasonal naive,store_id,5
2026-05-01,927.0,863.7,990.3,Seasonal naive,store_id,6
2026-05-02,1187.0,1123.7,1250.3,Seasonal naive,store_id,6
2026-05-03,1271.0,1207.7,1334.3,Seasonal naive,store_id,6
2026-05-04,1020.0,956.7,1083.3,Seasonal naive,store_id,6
2026-05-05,971.0,907.7,1034.3,Seasonal naive,store_id,6
2026-05-06,842.0,778.7,905.3,Seasonal naive,store_id,6
2026-05-07,953.0,889.7,1016.3,Seasonal naive,store_id,6
2026-05-08,927.0,863.7,990.3,Seasonal naive,store_id,6
2026-05-09,1187.0,1123.7,1250.3,Seasonal naive,store_id,6
2026-05-10,1271.0,1207.7,1334.3,Seasonal naive,store_id,6
2026-05-11,1020.0,956.7,1083.3,Seasonal naive,store_id,6
2026-05-12,971.0,907.7,1034.3,Seasonal naive,store_id,6
2026-05-13,842.0,778.7,905.3,Seasonal naive,store_id,6
2026-05-14,953.0,889.7,1016.3,Seasonal naive,store_id,6
2026-05-01,962.0,838.9,1085.1,Seasonal naive,store_id,7
2026-05-02,1212.0,1088.9,1335.1,Seasonal naive,store_id,7
2026-05-03,1134.0,1010.9,1257.1,Seasonal naive,store_id,7
2026-05-04,965.0,841.9,1088.1,Seasonal naive,store_id,7
2026-05-05,983.0,859.9,1106.1,Seasonal naive,store_id,7
2026-05-06,849.0,725.9,972.1,Seasonal naive,store_id,7
2026-05-07,994.0,870.9,1117.1,Seasonal naive,store_id,7
2026-05-08,962.0,838.9,1085.1,Seasonal naive,store_id,7
2026-05-09,1212.0,1088.9,1335.1,Seasonal naive,store_id,7
2026-05-10,1134.0,1010.9,1257.1,Seasonal naive,store_id,7
2026-05-11,965.0,841.9,1088.1,Seasonal naive,store_id,7
2026-05-12,983.0,859.9,1106.1,Seasonal naive,store_id,7
2026-05-13,849.0,725.9,972.1,Seasonal naive,store_id,7
2026-05-14,994.0,870.9,1117.1,Seasonal naive,store_id,7
2026-05-01,2517.0,2362.8,2671.2,Seasonal naive,category_id,0
