priority,issue,store_id,product_id,evidence,operational_impact,financial_impact_inr,recommended_action,suggested_owner,suggested_timing
HIGH,Lead-time stock deficit,0,2,Stock 111; daily planning demand 81.86; lead 3 days; safety 50; failed replenishments 7,Unfulfilled future demand risk,60018.857142857145,Review reorder of 758 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,3,Stock 118; daily planning demand 67.18; lead 5 days; safety 52; failed replenishments 4,Unfulfilled future demand risk,88246.60714285716,Review reorder of 741 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,7,Stock 79; daily planning demand 33.71; lead 5 days; safety 30; failed replenishments 8,Unfulfilled future demand risk,68522.14285714287,Review reorder of 356 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,8,Stock 8; daily planning demand 35.57; lead 1 days; safety 14; failed replenishments 9,Unfulfilled future demand risk,2895.0,Review reorder of 291 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,9,Stock 0; daily planning demand 28.71; lead 2 days; safety 17; failed replenishments 10,Unfulfilled future demand risk,10337.142857142857,Review reorder of 276 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,10,Stock 5; daily planning demand 29.86; lead 3 days; safety 24; failed replenishments 3,Unfulfilled future demand risk,37718.857142857145,Review reorder of 318 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,11,Stock 51; daily planning demand 24.07; lead 5 days; safety 26; failed replenishments 11,Unfulfilled future demand risk,17686.07142857143,Review reorder of 264 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,12,Stock 0; daily planning demand 25.86; lead 1 days; safety 10; failed replenishments 6,Unfulfilled future demand risk,3077.0,Review reorder of 217 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,13,Stock 13; daily planning demand 19.25; lead 2 days; safety 14; failed replenishments 11,Unfulfilled future demand risk,5202.0,Review reorder of 175 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,14,Stock 35; daily planning demand 19.14; lead 3 days; safety 15; failed replenishments 7,Unfulfilled future demand risk,8388.285714285716,Review reorder of 172 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,15,Stock 19; daily planning demand 18.43; lead 5 days; safety 21; failed replenishments 10,Unfulfilled future demand risk,18651.42857142857,Review reorder of 224 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,16,Stock 0; daily planning demand 20.43; lead 1 days; safety 10; failed replenishments 10,Unfulfilled future demand risk,1920.2857142857142,Review reorder of 174 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,18,Stock 26; daily planning demand 15.57; lead 3 days; safety 13; failed replenishments 11,Unfulfilled future demand risk,11620.714285714286,Review reorder of 143 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,19,Stock 11; daily planning demand 13.89; lead 5 days; safety 20; failed replenishments 9,Unfulfilled future demand risk,35546.28571428571,Review reorder of 176 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,20,Stock 0; daily planning demand 13.36; lead 1 days; safety 9; failed replenishments 8,Unfulfilled future demand risk,1896.7142857142858,Review reorder of 116 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,23,Stock 32; daily planning demand 12.43; lead 5 days; safety 17; failed replenishments 8,Unfulfilled future demand risk,23059.285714285717,Review reorder of 135 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,26,Stock 0; daily planning demand 12.29; lead 3 days; safety 13; failed replenishments 8,Unfulfilled future demand risk,16438.285714285717,Review reorder of 136 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,27,Stock 9; daily planning demand 11.00; lead 5 days; safety 13; failed replenishments 9,Unfulfilled future demand risk,23460.0,Review reorder of 136 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,28,Stock 8; daily planning demand 11.29; lead 1 days; safety 8; failed replenishments 11,Unfulfilled future demand risk,154.42857142857147,Review reorder of 91 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,30,Stock 7; daily planning demand 11.43; lead 3 days; safety 12; failed replenishments 8,Unfulfilled future demand risk,12169.42857142857,Review reorder of 120 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,31,Stock 19; daily planning demand 8.96; lead 5 days; safety 16; failed replenishments 9,Unfulfilled future demand risk,3873.2142857142853,Review reorder of 105 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,0,37,Stock 5; daily planning demand 8.14; lead 2 days; safety 8; failed replenishments 8,Unfulfilled future demand risk,1151.142857142857,Review reorder of 77 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,38,Stock 13; daily planning demand 6.71; lead 3 days; safety 10; failed replenishments 9,Unfulfilled future demand risk,1571.4285714285713,Review reorder of 65 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,0,39,Stock 17; daily planning demand 6.39; lead 5 days; safety 12; failed replenishments 11,Unfulfilled future demand risk,9098.285714285716,Review reorder of 72 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,3,Stock 117; daily planning demand 64.36; lead 5 days; safety 53; failed replenishments 6,Unfulfilled future demand risk,82938.2142857143,Review reorder of 709 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,6,Stock 55; daily planning demand 41.00; lead 3 days; safety 25; failed replenishments 9,Unfulfilled future demand risk,14960.0,Review reorder of 380 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,1,7,Stock 25; daily planning demand 34.50; lead 5 days; safety 29; failed replenishments 8,Unfulfilled future demand risk,112837.5,Review reorder of 418 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,1,11,Stock 0; daily planning demand 24.50; lead 5 days; safety 21; failed replenishments 10,Unfulfilled future demand risk,31237.5,Review reorder of 315 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,14,Stock 32; daily planning demand 19.86; lead 3 days; safety 22; failed replenishments 2,Unfulfilled future demand risk,10311.714285714284,Review reorder of 189 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,1,15,Stock 1; daily planning demand 18.32; lead 5 days; safety 20; failed replenishments 5,Unfulfilled future demand risk,23104.82142857143,Review reorder of 239 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,18,Stock 27; daily planning demand 15.04; lead 3 days; safety 12; failed replenishments 6,Unfulfilled future demand risk,10158.107142857145,Review reorder of 136 units; confirm inbound before placing order,Supply Chain Manager,Today
