snapshot_id,date,store_id,product_id,opening_stock,received_units,wastage_units,sold_units,closing_stock,demand_units,replenishment_failed,average_demand,demand_std,sold_units_period,average_stock,historical_stockout_rate,replenishment_failures,recent_demand,sku,product,category_id,supplier_id,brand_tier,pack_size,price_inr,unit_cost_inr,shelf_days,supplier,lead_days,demand_trend,planning_demand,safety_stock,reorder_point,target_stock,reorder_quantity,days_of_inventory,inventory_turnover,inventory_value_inr,excess_units,excess_inventory_inr,expected_overstock_risk,health,velocity,slow_moving_value_inr,dead_stock_value_inr,inventory_at_risk_inr,risk_score,risk_level,expected_stockout_date,revenue_at_risk_inr,margin_at_risk_inr,risk_drivers
38080,2026-04-30,0,0,346,139,0,134,351,134,1,155.85714285714286,27.01126553141236,4064,245.14285714285714,0.10714285714285714,10,156.0,SC-0000,Vegetable box 1,0,0,0,1,35.0,24.5,5,Harvest Circle,1,0.1428571428571388,156.0,45.0,201.0,1293.0,0,2.2520623281393215,16.57808857808858,8599.5,0.0,0.0,False,Healthy Stock,Fast Moving,0.0,0.0,0.0,0.0,LOW,2026-05-02,0.0,0.0,Stock 351; daily planning demand 156.00; lead 1 days; safety 45; failed replenishments 10
38081,2026-04-30,0,1,269,63,0,124,208,124,0,104.25,20.476951813088675,2880,179.60714285714286,0.03571428571428571,9,112.0,SC-0001,Breakfast pack 1,1,1,2,3,306.0,250.92,10,Morning Mill,2,7.75,112.0,48.0,272.0,1056.0,848,1.9952038369304557,16.034997017299663,52191.36,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,23.5,LOW,2026-05-01,4896.0,881.2800000000002,Stock 208; daily planning demand 112.00; lead 2 days; safety 48; failed replenishments 9
38082,2026-04-30,0,2,196,0,0,85,111,85,1,81.85714285714286,17.31348069443617,2297,124.28571428571429,0.0,7,72.71428571428571,SC-0002,Pantry pack 1,2,2,1,3,446.0,289.9,120,Grain Yard,3,-9.142857142857153,81.85714285714286,50.0,296.0,869.0,758,1.356020942408377,18.4816091954023,32178.899999999998,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,62.4,HIGH,2026-05-01,60018.857142857145,21006.600000000006,Stock 111; daily planning demand 81.86; lead 3 days; safety 50; failed replenishments 7
38083,2026-04-30,0,3,18,166,0,66,118,66,1,67.17857142857143,13.893919723785844,1886,79.32142857142857,0.03571428571428571,4,67.14285714285714,SC-0003,Home care pack 1,3,3,1,2,405.0,230.85,365,Everyday Works,5,-0.035714285714291805,67.17857142857143,52.0,388.0,859.0,741,1.7565124933545986,23.776677172444845,27240.3,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,69.6,HIGH,2026-05-01,88246.60714285716,37946.041071428575,Stock 118; daily planning demand 67.18; lead 5 days; safety 52; failed replenishments 4
38084,2026-04-30,0,4,74,102,0,58,118,58,0,53.464285714285715,12.39917005244375,1600,97.85714285714286,0.07142857142857142,8,54.142857142857146,SC-0004,Vegetable box 2,0,0,1,1,47.0,32.9,5,Harvest Circle,1,0.6785714285714306,54.142857142857146,21.0,76.0,455.0,0,2.2070808283233134,16.350364963503647,3882.2,0.0,0.0,False,Healthy Stock,Fast Moving,0.0,0.0,0.0,0.0,LOW,2026-05-02,0.0,0.0,Stock 118; daily planning demand 54.14; lead 1 days; safety 21; failed replenishments 8
38085,2026-04-30,0,5,104,48,0,36,116,36,1,45.142857142857146,10.606477006874359,1271,84.42857142857143,0.03571428571428571,8,47.142857142857146,SC-0005,Breakfast pack 2,1,1,2,3,306.0,250.92,10,Morning Mill,2,2.0,47.142857142857146,25.0,120.0,450.0,334,2.569620253164557,15.054145516074449,29106.719999999998,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,2.8,LOW,2026-05-02,0.0,0.0,Stock 116; daily planning demand 47.14; lead 2 days; safety 25; failed replenishments 8
38086,2026-04-30,0,6,87,25,0,29,83,29,0,40.357142857142854,10.096623145477846,1072,60.857142857142854,0.10714285714285714,8,40.42857142857143,SC-0006,Pantry pack 2,2,2,0,2,220.0,143.0,120,Grain Yard,3,0.0714285714285765,40.42857142857143,29.0,151.0,434.0,351,2.056637168141593,17.615023474178404,11869.0,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,44.8,MEDIUM,2026-05-02,8422.857142857145,2948.0000000000005,Stock 83; daily planning demand 40.43; lead 3 days; safety 29; failed replenishments 8
38087,2026-04-30,0,7,60,42,0,23,79,23,0,33.714285714285715,8.091408991696035,915,50.142857142857146,0.07142857142857142,8,32.285714285714285,SC-0007,Home care pack 2,3,3,2,3,765.0,436.05,365,Everyday Works,5,-1.4285714285714306,33.714285714285715,30.0,199.0,435.0,356,2.3432203389830506,18.247863247863247,34447.950000000004,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,60.2,HIGH,2026-05-02,68522.14285714287,29464.521428571432,Stock 79; daily planning demand 33.71; lead 5 days; safety 30; failed replenishments 8
38088,2026-04-30,0,8,44,0,0,36,8,36,1,33.57142857142857,7.9973540597920225,947,58.964285714285715,0.0,9,35.57142857142857,SC-0008,Vegetable box 3,0,0,0,3,105.0,73.5,5,Harvest Circle,1,2.0,35.57142857142857,14.0,50.0,299.0,291,0.23829787234042554,16.060569351907933,588.0,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,83.9,CRITICAL,2026-04-30,2895.0,868.4999999999999,Stock 8; daily planning demand 35.57; lead 1 days; safety 14; failed replenishments 9
38089,2026-04-30,0,9,27,0,0,27,0,27,0,27.678571428571427,7.242127636158639,746,47.57142857142857,0.10714285714285714,10,28.714285714285715,SC-0009,Breakfast pack 3,1,1,0,3,180.0,147.6,10,Morning Mill,2,1.0357142857142883,28.714285714285715,17.0,75.0,276.0,276,0.0,15.681681681681683,0.0,0.0,0.0,False,Critical Stock,Fast Moving,0.0,0.0,0.0,100.0,CRITICAL,2026-04-30,10337.142857142857,1860.6857142857148,Stock 0; daily planning demand 28.71; lead 2 days; safety 17; failed replenishments 10
38090,2026-04-30,0,10,29,0,0,24,5,24,0,28.214285714285715,8.130223188850913,788,35.857142857142854,0.03571428571428571,3,29.857142857142858,SC-0010,Pantry pack 3,2,2,1,3,446.0,289.9,120,Grain Yard,3,1.6428571428571423,29.857142857142858,24.0,114.0,323.0,318,0.17721518987341772,21.976095617529882,1449.5,0.0,0.0,False,Low Stock,Fast Moving,0.0,0.0,0.0,95.6,CRITICAL,2026-04-30,37718.857142857145,13201.600000000002,Stock 5; daily planning demand 29.86; lead 3 days; safety 24; failed replenishments 3
